aig_name,inputs,latches,outputs,gates,correct_cnt,init_alg,all_timeout,gen_threshold,i234_time,if_frame,i234_ac_cnt,i234_ac_ratio 
shortp0.aig,10,14,1,74,321,Init4,false,0,0.60645,1,321,1
bobtutt.aig,533,13,1,44445,513,Init2,false,2,5.835348,12,513,1
prodconsp0neg.aig,63,88,1,837,502,Init2,false,32,1.924219,1,56,0.111553784860558
dme3p1.aig,124,136,1,1193,485,Init2,false,32,0.219404,3,155,0.319587628865979
ringp0neg.aig,15,25,1,145,371,Init4,false,0,70.792062,1,371,1
frogs.2.prop1-back-serstep.aig,149,142,0,8474,484,Init2,false,32,1.924467,2,248,0.512396694214876
srg5ptimonegnv.aig,30,47,1,304,487,Init2,false,16,0.069121,2,195,0.40041067761807
139442p5.aig,170,232,1,3485,468,Init2,false,16,23.685052,5,12,0.025641025641026
139442p6neg.aig,174,238,1,3534,468,Init2,false,16,14.008966,2,2,0.004273504273504
pcip1.aig,154,158,1,1998,491,Init2,false,16,0.470262,1,29,0.059063136456212
prodconsp0.aig,63,88,1,837,503,Init2,false,16,1.523484,1,44,0.087475149105368
dme4p1neg.aig,161,175,1,1556,499,Init2,false,16,0.570555,3,158,0.316633266533066
texaspimainp02.aig,14,239,1,7998,285,Init2,false,4,0.570987,2,207,0.726315789473684
139443p22.aig,244,322,1,5549,498,Init2,false,32,10.097774,3,1,0.002008032128514
nusmvtcastp4.aig,152,173,1,2745,501,Init2,false,32,4.582372,1,172,0.343313373253493
139453p0neg.aig,299,395,1,8829,495,Init2,false,32,40.290327,3,2,0.004040404040404
shortp0neg.aig,10,14,1,74,321,Init4,false,0,0.658198,1,321,1
nusmvtcastp1.aig,152,173,1,2761,501,Init2,false,32,3.62883,1,200,0.399201596806387
nusmvtcasp1.aig,152,173,1,2673,501,Init2,false,32,2.676677,1,259,0.516966067864271
nusmvtcasp6.aig,152,173,1,2656,501,Init2,false,32,3.829635,1,240,0.479041916167665
139453p1neg.aig,296,390,1,8875,495,Init2,false,32,39.480333,1,1,0.002020202020202
srg5ptimoneg.aig,30,47,1,304,487,Init2,false,16,0.06897,1,200,0.410677618069815
nusmvtcastp5.aig,152,173,1,2749,501,Init2,false,16,30.302459,1,134,0.267465069860279
dme6p1neg.aig,233,251,1,2270,467,Init2,false,16,12.503684,3,166,0.355460385438972
139443p6.aig,242,318,1,5534,496,Init2,false,32,3.128675,4,13,0.026209677419355
brp.2.prop1-func-interl.aig,36,122,0,1101,735,Init2,false,8,1.022416,5,58,0.07891156462585
texaspimainp08.aig,14,239,1,7989,382,Init2,false,2,2.424834,3,1,0.00261780104712
pcip1neg.aig,154,158,1,1998,491,Init2,false,16,0.520436,1,2,0.004073319755601
texasPImainp08.aig,14,239,1,7989,382,Init2,false,2,2.376001,3,1,0.00261780104712
brpptimoneg.aig,64,110,1,1040,486,Init2,false,32,0.169015,4,85,0.174897119341564
mutexp0neg.aig,11,20,1,159,462,Init4,false,0,5.352373,1,462,1
139442p23.aig,178,246,1,3577,468,Init2,false,32,3.028103,3,1,0.002136752136752
prodconspold1.aig,55,75,1,783,486,Init2,false,8,1.122053,1,99,0.203703703703704
prodconsp5neg.aig,63,84,1,826,504,Init2,false,16,0.871333,1,31,0.061507936507937
139442p1.aig,166,226,1,3488,468,Init2,false,16,19.924948,1,16,0.034188034188034
dme3p1neg.aig,124,136,1,1193,485,Init2,false,32,0.219433,3,179,0.369072164948454
139442p1neg.aig,166,226,1,3488,468,Init2,false,16,18.170741,6,1,0.002136752136752
brpp1.aig,86,138,1,1244,491,Init2,false,8,6.437271,2,62,0.126272912423625
viselevatorp2.aig,28,40,1,1113,276,Init2,false,4,0.169584,1,170,0.615942028985507
counterp0.aig,9,16,1,89,346,Init4,false,0,2.462531,1,346,1
beemprng1b1.aig,2075,59,1,16758,478,Init2,false,32,5.985641,1,242,0.506276150627615
mutexp0.aig,11,20,1,159,462,Init4,false,0,5.101474,1,462,1
visbakery.aig,7,25,1,735,367,Init2,false,4,1.52274,1,152,0.4141689373297
texasPImainp02.aig,14,239,1,7998,285,Init2,false,4,0.570401,2,207,0.726315789473684
brpptimo.aig,64,110,1,1040,486,Init2,false,32,0.169734,4,91,0.18724279835391
prodconsp5.aig,63,84,1,826,504,Init2,false,16,0.822127,1,25,0.049603174603175
139444p5neg.aig,290,376,1,7853,497,Init2,false,32,18.922996,3,4,0.008048289738431
counterp0neg.aig,9,16,1,89,346,Init4,false,0,2.54541,1,346,1
viseisenberg.aig,7,22,1,720,246,Init2,false,4,0.119267,1,208,0.845528455284553
kenflashp12.aig,42,44,1,1978,467,Init2,false,2,3.378113,3,328,0.702355460385439
ringp0.aig,15,25,1,145,371,Init4,false,0,84.792381,1,371,1
pciptimoneg.aig,141,142,1,1895,491,Init2,false,32,0.319969,6,5,0.010183299389002
prodconsp1negnv.aig,61,86,1,829,497,Init2,false,32,0.670852,1,27,0.054325955734407
nusmvtcastp6.aig,152,173,1,2744,501,Init2,false,32,6.638084,1,172,0.343313373253493
pcipftimo.aig,143,145,1,1917,491,Init2,false,16,0.369892,3,32,0.065173116089613
139444p6neg.aig,294,382,1,7902,497,Init2,false,32,10.298137,3,9,0.018108651911469
prodconspold4.aig,55,75,1,748,488,Init2,false,8,1.623581,1,37,0.075819672131148
139452p1.aig,211,290,1,5765,496,Init2,false,32,3.779531,4,1,0.002016129032258
bj08vendingcycle.aig,3,31,1,1069,491,Init2,false,2,0.4707,9,343,0.69857433808554
texasifetch1p5.aig,28,59,1,602,471,Init4,false,0,34.941012,1,471,1
beemlmprt8f1.aig,70,147,1,1969,589,Init2,false,4,12.002949,8,299,0.507640067911715
srg5ptimo.aig,30,47,1,304,487,Init2,false,16,0.069526,2,195,0.40041067761807
139453p6.aig,304,402,1,8891,495,Init2,false,32,57.58328,2,1,0.002020202020202
139452p5neg.aig,215,296,1,5747,496,Init2,false,32,5.736482,3,2,0.004032258064516
139442p0neg.aig,169,231,1,3472,468,Init2,false,16,57.780524,3,25,0.053418803418804
bj08goodbakerycyclef1.aig,4,47,1,19849,290,Init2,false,8,11.150767,21,48,0.16551724137931
brpp1neg.aig,86,138,1,1244,491,Init2,false,16,0.219732,1,33,0.067209775967414
visprodcellp07.aig,30,78,1,2806,390,Init2,false,8,0.319457,3,56,0.143589743589744
pcipFtimo.aig,143,145,1,1917,491,Init2,false,16,0.370772,3,32,0.065173116089613
prodconsp1.aig,57,80,1,790,487,Init2,false,16,1.32291,1,32,0.065708418891171
139442p6.aig,174,238,1,3534,468,Init2,false,32,2.124777,4,5,0.010683760683761
kenflashp02.aig,33,35,1,1608,417,Init2,false,8,0.169719,1,266,0.637889688249401
dme6p1.aig,233,251,1,2270,467,Init2,false,16,16.313896,3,166,0.355460385438972
dme5p1neg.aig,197,213,1,1913,480,Init2,false,32,0.420368,2,171,0.35625
texastwoprocp5.aig,12,45,1,793,719,Init2,false,32,1.524184,18,1,0.001390820584145
brpptimonegnv.aig,72,122,1,1120,486,Init2,false,16,0.220163,2,53,0.109053497942387
prodconspold3.aig,55,75,1,763,489,Init2,false,4,17.718556,1,59,0.120654396728016
